data_name,variant,rho,val_f1_macro,test_f1_macro,train_f1_per_label_0,train_f1_per_label_1,val_f1_per_label_0,val_f1_per_label_1,test_f1_per_label_0,test_f1_per_label_1
Bretschneider-Main,augmentation_external_data,1.0,70.47,61.65,97.76,97.77,94.69,46.26,93.17,30.14
Bretschneider-Main,sampling_modifiedRS_oversampling,1.0,80.35,72.92,97.96,98.03,97.01,63.69,95.89,49.94
Bretschneider-Main,augmentation_external_data,1.2,70.05,64.5,97.68,97.23,94.91,45.2,93.79,35.22
Bretschneider-Main,sampling_modifiedRS_oversampling,1.2,80.62,71.9,98.05,97.75,97.25,63.99,96.01,47.78
Bretschneider-Main,augmentation_external_data,1.5,70.05,62.27,97.69,96.59,94.24,45.86,93.03,31.51
Bretschneider-Main,sampling_modifiedRS_oversampling,1.5,81.31,73.72,98.11,97.29,97.27,65.35,96.05,51.38
Bretschneider-Main,sampling_modifiedRS_oversampling,2.0,81.2,70.23,98.05,96.31,97.34,65.06,95.79,44.67
Bretschneider-Main,sampling_modifiedRS_oversampling,3.0,80.43,71.06,98.0,94.39,97.11,63.74,95.71,46.41
Bretschneider-Main,sampling_modifiedRS_oversampling,5.0,79.63,70.38,98.04,91.1,96.92,62.33,95.35,45.41
Bretschneider-Main,sampling_modifiedRS_oversampling,7.5,78.66,70.36,98.05,87.0,96.83,60.48,95.49,45.24
Bretschneider-Main,sampling_modifiedRS_oversampling,10.0,77.9,70.42,97.95,81.2,96.78,59.03,95.86,44.97
Bretschneider-School,augmentation_external_data,1.0,77.48,61.57,98.06,98.04,95.63,59.33,92.01,31.12
Bretschneider-School,sampling_modifiedRS_oversampling,1.0,79.44,74.03,97.83,97.92,96.61,62.27,94.99,53.07
Bretschneider-School,augmentation_external_data,1.2,74.93,65.19,98.14,97.76,95.69,54.17,93.42,36.96
Bretschneider-School,sampling_modifiedRS_oversampling,1.2,80.14,76.23,97.88,97.57,96.53,63.74,94.93,57.53
Bretschneider-School,augmentation_external_data,1.5,76.56,66.4,97.94,96.92,95.42,57.69,92.62,40.18
Bretschneider-School,sampling_modifiedRS_oversampling,1.5,78.76,74.36,97.77,96.82,95.97,61.54,94.3,54.42
Bretschneider-School,sampling_modifiedRS_oversampling,2.0,77.89,72.84,97.56,95.35,96.13,59.65,94.72,50.96
Bretschneider-School,sampling_modifiedRS_oversampling,3.0,79.75,74.98,97.65,93.38,96.47,63.04,95.04,54.92
Bretschneider-School,sampling_modifiedRS_oversampling,5.0,78.91,69.05,97.66,89.46,96.55,61.28,94.44,43.67
Bretschneider-School,sampling_modifiedRS_oversampling,7.5,78.77,69.26,97.81,85.18,96.41,61.12,94.43,44.09
CMSB,augmentation_external_data,1.0,80.59,81.94,98.67,98.68,94.32,66.85,94.84,69.04
CMSB,sampling_modifiedRS_oversampling,1.0,84.45,84.9,99.52,99.53,95.42,73.47,95.65,74.15
CMSB,augmentation_external_data,1.2,81.19,81.86,98.86,98.65,94.53,67.84,94.87,68.85
CMSB,sampling_modifiedRS_oversampling,1.2,85.04,84.92,99.65,99.58,95.78,74.31,95.85,73.99
CMSB,augmentation_external_data,1.5,81.59,81.48,99.07,98.62,94.58,68.6,94.62,68.34
CMSB,sampling_modifiedRS_oversampling,1.5,85.02,85.39,99.57,99.35,95.78,74.26,96.0,74.79
CMSB,sampling_modifiedRS_oversampling,2.0,84.95,84.48,99.75,99.51,95.76,74.13,95.73,73.23
CMSB,sampling_modifiedRS_oversampling,3.0,85.21,85.45,99.53,98.58,95.76,74.66,95.98,74.92
CMSB,sampling_modifiedRS_oversampling,5.0,85.3,84.83,99.65,98.26,95.75,74.85,95.76,73.9
Davidson-2017,augmentation_external_data,1.0,74.0,72.88,98.38,98.71,40.56,94.25,38.37,94.29
Davidson-2017,sampling_modifiedRS_oversampling,1.0,75.46,75.42,99.54,99.23,44.78,93.36,43.53,93.72
Davidson-2017,augmentation_external_data,1.2,74.08,73.18,97.89,98.6,41.04,94.11,39.26,94.13
Davidson-2017,sampling_modifiedRS_oversampling,1.2,75.24,74.24,99.55,99.3,44.72,93.61,41.4,93.7
Davidson-2017,augmentation_external_data,1.5,74.43,73.01,97.07,98.18,41.54,94.27,38.58,94.34
Davidson-2017,sampling_modifiedRS_oversampling,1.5,76.65,75.48,99.21,99.12,47.7,93.56,43.45,93.88
Davidson-2017,sampling_modifiedRS_oversampling,2.0,76.1,74.51,99.21,99.34,46.42,93.68,41.58,93.75
Davidson-2017,sampling_modifiedRS_oversampling,3.0,75.99,74.87,98.04,98.89,46.3,92.74,43.05,92.79
Davidson-2017,sampling_modifiedRS_oversampling,5.0,76.43,75.64,94.62,98.45,46.66,93.93,43.64,93.96
Davidson-2017,sampling_modifiedRS_oversampling,7.5,76.22,74.18,90.37,98.32,44.41,94.65,38.01,94.8
Davidson-2017,sampling_modifiedRS_oversampling,10.0,76.16,74.53,86.05,98.3,44.2,94.62,39.52,94.65
Founta-2018,augmentation_external_data,1.0,60.9,62.06,96.73,87.98,86.24,56.37,86.31,56.37
Founta-2018,sampling_modifiedRS_oversampling,1.0,61.27,61.61,96.78,97.29,83.28,54.38,83.0,53.76
Founta-2018,augmentation_external_data,1.2,61.18,61.77,96.79,88.31,87.1,52.55,87.23,52.5
Founta-2018,sampling_modifiedRS_oversampling,1.2,61.83,62.58,96.25,96.28,84.66,56.08,84.85,55.66
Founta-2018,augmentation_external_data,1.5,61.45,60.83,97.43,90.6,85.25,55.52,85.0,54.77
Founta-2018,sampling_modifiedRS_oversampling,1.5,62.46,62.74,96.5,95.62,85.08,57.14,85.18,56.21
Founta-2018,sampling_modifiedRS_oversampling,2.0,62.24,62.71,96.47,93.96,85.95,56.09,86.07,55.54
Founta-2018,sampling_modifiedRS_oversampling,3.0,62.75,62.74,97.02,92.28,85.5,55.41,85.42,54.4
Founta-2018,sampling_modifiedRS_oversampling,5.0,63.17,63.77,96.24,85.37,86.25,56.88,86.47,57.06
Founta-2018,sampling_modifiedRS_oversampling,7.5,63.31,63.62,96.87,87.85,86.8,55.94,86.92,55.38
Founta-2018,sampling_modifiedRS_oversampling,10.0,63.72,63.98,96.27,85.62,87.54,55.52,87.59,54.53
Founta-2018,sampling_modifiedRS_oversampling,15.0,63.02,63.6,97.16,89.15,86.22,56.79,86.29,56.63
Gibert-2018,augmentation_external_data,1.0,77.21,73.62,99.69,99.69,94.97,59.45,93.98,53.25
Gibert-2018,sampling_modifiedRS_oversampling,1.0,79.59,77.47,99.63,99.63,95.19,63.98,94.49,60.45
Gibert-2018,augmentation_external_data,1.2,77.52,74.23,99.48,99.38,94.64,60.4,93.79,54.67
Gibert-2018,sampling_modifiedRS_oversampling,1.2,79.69,76.3,99.67,99.6,95.81,63.57,95.05,57.54
Gibert-2018,augmentation_external_data,1.5,77.09,75.39,99.43,99.15,95.0,59.18,94.58,56.19
Gibert-2018,sampling_modifiedRS_oversampling,1.5,78.6,76.55,99.73,99.6,94.7,62.49,94.01,59.1
Gibert-2018,sampling_modifiedRS_oversampling,2.0,79.84,76.64,99.91,99.82,95.73,63.95,95.05,58.23
Gibert-2018,sampling_modifiedRS_oversampling,3.0,80.14,77.25,99.68,99.04,95.5,64.78,94.78,59.72
Gibert-2018,sampling_modifiedRS_oversampling,5.0,78.74,75.84,99.78,98.9,95.58,61.89,94.71,56.98
Twitter-Hate-Speech,augmentation_external_data,1.0,85.44,84.18,99.72,99.72,98.05,72.84,97.85,70.5
Twitter-Hate-Speech,sampling_modifiedRS_oversampling,1.0,87.81,87.45,99.82,99.82,98.38,77.24,98.36,76.53
Twitter-Hate-Speech,augmentation_external_data,1.2,84.45,83.5,99.72,99.66,97.8,71.1,97.6,69.4
Twitter-Hate-Speech,sampling_modifiedRS_oversampling,1.2,88.12,87.58,99.91,99.89,98.37,77.87,98.34,76.83
Twitter-Hate-Speech,augmentation_external_data,1.5,85.15,84.2,99.79,99.68,97.87,72.42,97.73,70.66
Twitter-Hate-Speech,sampling_modifiedRS_oversampling,1.5,88.1,87.19,99.87,99.81,98.43,77.77,98.32,76.05
Twitter-Hate-Speech,sampling_modifiedRS_oversampling,2.0,87.53,87.45,99.83,99.67,98.37,76.68,98.38,76.52
Twitter-Hate-Speech,sampling_modifiedRS_oversampling,3.0,88.02,87.49,99.87,99.62,98.38,77.65,98.32,76.66
Twitter-Hate-Speech,sampling_modifiedRS_oversampling,5.0,87.97,87.24,99.91,99.57,98.43,77.51,98.35,76.14
Twitter-Hate-Speech,sampling_modifiedRS_oversampling,7.5,88.27,87.65,99.88,99.11,98.44,78.1,98.35,76.95
Twitter-Hate-Speech,sampling_modifiedRS_oversampling,10.0,87.89,87.39,99.91,99.09,98.36,77.41,98.32,76.45
US-Election-2020,augmentation_external_data,1.0,79.9,76.59,99.64,99.64,95.42,64.38,95.41,57.78
US-Election-2020,sampling_modifiedRS_oversampling,1.0,77.56,74.78,99.69,99.69,95.32,59.8,95.24,54.31
US-Election-2020,augmentation_external_data,1.2,80.17,75.05,99.63,99.56,95.62,64.71,95.2,54.9
US-Election-2020,sampling_modifiedRS_oversampling,1.2,81.33,73.49,99.93,99.91,95.84,66.82,95.03,51.96
US-Election-2020,augmentation_external_data,1.5,79.38,73.75,99.61,99.41,95.26,63.5,95.03,52.48
US-Election-2020,sampling_modifiedRS_oversampling,1.5,79.29,74.57,99.92,99.87,95.37,63.21,95.15,54.0
US-Election-2020,sampling_modifiedRS_oversampling,2.0,81.19,76.23,99.99,99.98,95.95,66.43,95.59,56.86
US-Election-2020,sampling_modifiedRS_oversampling,3.0,77.6,74.7,99.64,98.93,94.26,60.93,94.32,55.07
US-Election-2020,sampling_modifiedRS_oversampling,5.0,79.35,76.27,99.72,98.57,95.47,63.23,95.52,57.01
Waseem-and-Hovy-2016,augmentation_external_data,1.0,85.69,86.31,99.19,99.19,92.43,78.94,92.75,79.87
Waseem-and-Hovy-2016,sampling_modifiedRS_oversampling,1.0,86.81,87.16,99.15,99.16,92.99,80.63,93.27,81.04
Waseem-and-Hovy-2016,augmentation_external_data,1.2,85.4,85.98,99.22,99.06,92.35,78.45,92.7,79.25
Waseem-and-Hovy-2016,sampling_modifiedRS_oversampling,1.2,86.37,86.51,99.25,99.1,92.64,80.09,92.77,80.24
Waseem-and-Hovy-2016,augmentation_external_data,1.5,85.57,85.4,99.2,98.8,92.37,78.76,92.37,78.43
Waseem-and-Hovy-2016,sampling_modifiedRS_oversampling,1.5,86.68,86.81,99.46,99.19,93.25,80.1,93.32,80.3
Waseem-and-Hovy-2016,sampling_modifiedRS_oversampling,2.0,86.5,86.04,99.47,98.95,93.11,79.9,93.01,79.07
Waseem-and-Hovy-2016,sampling_modifiedRS_oversampling,2.5,86.39,86.1,99.54,98.84,93.17,79.61,93.13,79.08
